date,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
2018-10-01,45599.15000000001,52948.71000000001,564047.89,218508.52000000002,67805.35,11990.779999999997,68931.59999999998,38509.729999999996,10563.31,24675.820000000003,107376.27999999998,10336.49,17528.59,50901.92,59728.81,40751.93999999999,27579.090000000004,164554.28999999998,24558.0,412821.76,218554.45999999996,96888.07999999999,96059.97,107111.78,49451.15
2018-11-01,49381.530000000006,55448.270000000004,590755.28,238246.13,72968.53,12584.719999999998,72213.96999999997,40865.52,11047.949999999999,26031.470000000005,113468.02999999998,11009.7,19043.38,52919.59,65585.42,43287.29999999999,29380.530000000002,175714.19999999998,25651.79,465701.92000000004,242980.74999999997,102311.91999999998,98027.97,112098.92,51518.740000000005
2018-12-01,51379.86000000001,58165.25000000001,622590.55,256177.95,76946.19,13146.879999999997,75147.24999999997,42999.59,11413.31,27318.040000000005,119102.38999999998,11619.0,19935.79,54810.869999999995,70739.1,45117.71999999999,31027.730000000003,182425.68999999997,27181.57,498252.12000000005,259319.28999999998,108743.88999999998,99585.94,117306.98999999999,54164.450000000004
2019-01-01,53127.66000000001,60457.66,648050.65,272121.56,81387.26000000001,13683.469999999998,77798.77999999997,44704.719999999994,12198.18,28299.650000000005,124091.08999999998,12161.94,21167.95,56432.899999999994,75066.31000000001,47392.98999999998,32772.090000000004,191399.31999999998,28797.22,532578.7200000001,279087.29,112518.55999999998,100391.33,123048.79,56463.770000000004
2019-02-01,55267.97000000001,62342.39000000001,675775.41,287911.84,86739.15000000001,14334.839999999998,81055.36999999997,47231.17999999999,12996.84,29455.970000000005,129813.69999999998,12754.68,22259.78,58695.899999999994,81828.12000000001,49655.54999999998,34490.86,198998.12999999998,29818.14,570476.5900000001,303898.97,116723.82999999999,106643.42,128814.28,58128.73
2019-03-01,57434.90000000001,64445.29000000001,721615.5,310175.77,92723.98000000001,15388.469999999998,84131.78999999996,49383.48999999999,13784.14,31935.890000000007,137464.87,13331.78,23310.44,60948.73999999999,87587.93000000001,52010.919999999984,35464.24,211810.58,31157.2,609491.29,324638.72,122253.04999999999,112496.56999999999,137809.43,60581.98
2019-04-01,58667.19000000001,66247.11000000002,755176.39,326978.62,98108.28000000001,16290.939999999997,86755.52999999997,52442.03999999999,14738.82,33036.93000000001,144289.31,14127.210000000001,25454.71,63325.54999999999,91600.96,54406.959999999985,38367.92,217064.15,31874.83,648376.66,341241.18,125258.97999999998,119345.65999999999,144548.36,62821.66
2019-05-01,60243.00000000001,69520.44000000002,795351.22,343530.2,102131.87000000001,17104.749999999996,89518.73999999998,54233.909999999996,15884.18,34146.76000000001,149577.93,14750.95,26564.27,65461.68999999999,96068.27,57017.79999999999,40897.78,223185.16999999998,33367.83,675853.4400000001,356028.19,131157.93999999997,128069.21999999999,153836.44999999998,64961.770000000004
2019-06-01,61800.11000000001,71616.53000000001,823478.7,357013.23000000004,106178.09000000001,17645.409999999996,92181.16999999997,56406.27,17042.64,35028.18000000001,156886.49,15403.09,28117.15,67707.88999999998,100706.37000000001,59658.44999999999,42966.99,230909.58,35174.44,703015.3,372089.84,136826.86999999997,135258.02,161323.06999999998,66918.90000000001
2019-07-01,64305.15000000001,74822.66000000002,868572.7999999999,370077.12000000005,110497.57,18638.909999999996,95482.16999999997,59253.03,18083.86,36418.87000000001,162858.33,16261.130000000001,29562.63,70729.94999999998,105904.78000000001,62709.52999999999,45214.54,240544.05,36259.490000000005,747628.1000000001,388128.09,142149.98999999996,147732.05,168966.27999999997,69417.62000000001
